#Data fitted with model: Sphere on Wed Nov 29 15:38:36 2017
#[[Fit Statistics]]
#    # function evals   = 50
#    # data points      = 855
#    # variables        = 3
#    chi-square         = 17.066
#    reduced chi-square = 0.020
#    Akaike info crit   = -3340.458
#    Bayesian info crit = -3326.205
#[[Variables]]
#    R:        13.6698507 +/- 0.265657 (1.94%) (init= 10)
#    Rsig:     2.43814474 +/- 0.163070 (6.69%) (init= 2)
#    rhoc:     1 (fixed)
#    rhosol:   0 (fixed)
#    norm:     1.1850e-07 +/- 6.38e-09 (5.38%) (init= 2e-07)
#    bkg:      0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(R, norm)                   = -0.994 
#    C(R, Rsig)                   = -0.989 
#    C(Rsig, norm)                =  0.968 
#x 	 y	 yerr 	 yfit
1.009999999999999960e-02 1.398000000000000076e-01 2.962000000000000050e-02 1.300288088205820425e-01
1.030000000000000013e-02 1.386199999999999932e-01 2.978700000000000098e-02 1.300012860063434750e-01
1.060000000000000005e-02 1.370000000000000107e-01 2.985300000000000106e-02 1.299590004085869333e-01
1.089999999999999997e-02 1.386600000000000055e-01 3.008900000000000116e-02 1.299155141313332040e-01
1.119999999999999989e-02 1.405099999999999960e-01 3.007999999999999910e-02 1.298708282965223559e-01
1.149999999999999981e-02 1.397899999999999976e-01 2.992300000000000168e-02 1.298249440568445545e-01
1.170000000000000033e-02 1.342399999999999982e-01 2.994499999999999940e-02 1.297936893663773350e-01
1.200000000000000025e-02 1.311299999999999966e-01 2.972100000000000089e-02 1.297458104301703607e-01
1.230000000000000017e-02 1.326299999999999979e-01 2.999200000000000130e-02 1.296967363129315209e-01
1.260000000000000009e-02 1.341100000000000070e-01 2.988299999999999984e-02 1.296464682797086321e-01
1.290000000000000001e-02 1.374700000000000089e-01 2.983699999999999894e-02 1.295950076260771189e-01
1.310000000000000053e-02 1.344499999999999862e-01 2.949999999999999845e-02 1.295600386103512580e-01
1.340000000000000045e-02 1.364499999999999880e-01 2.953000000000000069e-02 1.295065932178499912e-01
1.370000000000000037e-02 1.374499999999999889e-01 2.966600000000000140e-02 1.294519588086627537e-01
1.400000000000000029e-02 1.368300000000000072e-01 2.974399999999999961e-02 1.293961367898542048e-01
1.430000000000000021e-02 1.341700000000000115e-01 3.005800000000000138e-02 1.293391285987625372e-01
1.450000000000000074e-02 1.309800000000000131e-01 3.010900000000000035e-02 1.293004648769141007e-01
1.480000000000000066e-02 1.302800000000000069e-01 2.962599999999999956e-02 1.292414830081653754e-01
1.510000000000000057e-02 1.293799999999999950e-01 2.957399999999999959e-02 1.291813189476294921e-01
1.540000000000000049e-02 1.297300000000000120e-01 2.945100000000000148e-02 1.291199742431694553e-01
1.569999999999999868e-02 1.274200000000000055e-01 2.914500000000000077e-02 1.290574504726473559e-01
1.590000000000000094e-02 1.251599999999999935e-01 2.927899999999999947e-02 1.290151137150117033e-01
1.619999999999999912e-02 1.263799999999999923e-01 2.923100000000000004e-02 1.289506284220358345e-01
1.650000000000000078e-02 1.258900000000000019e-01 2.948900000000000132e-02 1.288849684168281440e-01
1.679999999999999896e-02 1.284200000000000064e-01 2.941399999999999917e-02 1.288181353867119960e-01
1.710000000000000062e-02 1.301100000000000034e-01 2.930900000000000172e-02 1.287501310487102757e-01
1.739999999999999880e-02 1.291200000000000125e-01 2.948999999999999885e-02 1.286809571494783033e-01
1.760000000000000106e-02 1.265100000000000113e-01 2.970199999999999924e-02 1.286341923363475692e-01
1.789999999999999925e-02 1.267699999999999938e-01 3.008500000000000063e-02 1.285630731301139196e-01
1.820000000000000090e-02 1.291299999999999948e-01 2.975600000000000120e-02 1.284907891647311950e-01
1.849999999999999908e-02 1.316599999999999993e-01 2.972500000000000142e-02 1.284173422949015930e-01
1.880000000000000074e-02 1.348499999999999976e-01 2.967099999999999946e-02 1.283427344046263463e-01
1.899999999999999953e-02 1.347899999999999932e-01 2.957999999999999866e-02 1.282923517433533500e-01
1.930000000000000118e-02 1.302899999999999892e-01 2.938299999999999940e-02 1.282158130850127864e-01
1.959999999999999937e-02 1.289899999999999936e-01 2.898900000000000088e-02 1.281381185728981686e-01
1.990000000000000102e-02 1.280100000000000127e-01 2.905200000000000143e-02 1.280592701977933123e-01
2.019999999999999921e-02 1.286299999999999943e-01 2.888800000000000048e-02 1.279792699794240485e-01
2.040000000000000147e-02 1.239100000000000062e-01 2.859799999999999842e-02 1.279252975980487705e-01
2.069999999999999965e-02 1.237199999999999966e-01 2.844700000000000006e-02 1.278433822075362436e-01
2.100000000000000130e-02 1.239100000000000062e-01 2.857499999999999971e-02 1.277603205005726217e-01
2.129999999999999949e-02 1.247100000000000014e-01 2.901700000000000113e-02 1.276761146023109861e-01
2.160000000000000114e-02 1.252999999999999947e-01 2.970199999999999924e-02 1.275907666664621576e-01
2.179999999999999993e-02 1.238599999999999979e-01 2.936400000000000121e-02 1.275332346536902084e-01
2.210000000000000159e-02 1.244600000000000012e-01 2.906299999999999856e-02 1.274459881851876530e-01
2.239999999999999977e-02 1.237700000000000050e-01 2.922399999999999998e-02 1.273576055613027946e-01
2.270000000000000143e-02 1.240799999999999959e-01 2.931999999999999884e-02 1.272680890397287212e-01
2.299999999999999961e-02 1.252800000000000025e-01 2.930400000000000019e-02 1.271774409063136102e-01
2.319999999999999840e-02 1.270799999999999985e-01 2.946800000000000114e-02 1.271163812856447584e-01
2.350000000000000006e-02 1.265100000000000113e-01 2.959600000000000078e-02 1.270238522883350984e-01
2.380000000000000171e-02 1.248900000000000010e-01 2.933799999999999950e-02 1.269301979117275492e-01
2.409999999999999989e-02 1.234200000000000019e-01 2.912100000000000105e-02 1.268354205441203364e-01
2.440000000000000155e-02 1.227099999999999996e-01 2.900799999999999906e-02 1.267395226015353982e-01
2.460000000000000034e-02 1.234200000000000019e-01 2.901799999999999866e-02 1.266749693037647895e-01
2.489999999999999852e-02 1.247999999999999943e-01 2.879900000000000168e-02 1.265772091801528609e-01
2.520000000000000018e-02 1.280000000000000027e-01 2.914800000000000030e-02 1.264783350591018873e-01
2.549999999999999836e-02 1.297899999999999887e-01 2.887199999999999836e-02 1.263783494574675925e-01
2.580000000000000002e-02 1.311799999999999911e-01 2.881399999999999934e-02 1.262772549193765803e-01
2.610000000000000167e-02 1.287200000000000011e-01 2.907099999999999962e-02 1.261750540161275802e-01
2.630000000000000046e-02 1.213700000000000057e-01 2.916600000000000095e-02 1.261063067153525841e-01
2.659999999999999865e-02 1.144799999999999984e-01 2.903000000000000025e-02 1.260022676576492417e-01
2.690000000000000030e-02 1.136999999999999955e-01 2.878899999999999862e-02 1.258971292236517325e-01
2.719999999999999848e-02 1.110700000000000021e-01 2.854699999999999946e-02 1.257908940834159273e-01
2.750000000000000014e-02 1.098299999999999971e-01 2.828100000000000058e-02 1.256835649336893179e-01
2.769999999999999893e-02 1.162900000000000045e-01 2.821200000000000097e-02 1.256114057279198726e-01
2.800000000000000058e-02 1.217599999999999932e-01 2.825599999999999987e-02 1.255022592939755988e-01
2.829999999999999877e-02 1.262500000000000011e-01 2.862699999999999967e-02 1.253920261715532891e-01
2.860000000000000042e-02 1.236799999999999983e-01 2.883600000000000052e-02 1.252807091543583773e-01
2.889999999999999861e-02 1.199699999999999933e-01 2.861999999999999961e-02 1.251683110622859307e-01
2.910000000000000087e-02 1.202600000000000058e-01 2.884600000000000011e-02 1.250927798080999076e-01
2.939999999999999905e-02 1.222000000000000031e-01 2.858700000000000130e-02 1.249785862617815019e-01
2.970000000000000070e-02 1.180199999999999999e-01 2.830999999999999836e-02 1.248633192875032161e-01
2.999999999999999889e-02 1.184700000000000059e-01 2.849600000000000050e-02 1.247469818002384379e-01
3.030000000000000054e-02 1.204100000000000031e-01 2.889200000000000101e-02 1.246295767406274402e-01
3.049999999999999933e-02 1.235399999999999970e-01 2.890300000000000161e-02 1.245507150688768272e-01
3.080000000000000099e-02 1.171600000000000003e-01 2.873600000000000113e-02 1.244315373261256213e-01
3.109999999999999917e-02 1.157399999999999957e-01 2.891399999999999873e-02 1.243112999773406252e-01
3.139999999999999736e-02 1.191299999999999998e-01 2.887199999999999836e-02 1.241900060562837887e-01
3.169999999999999901e-02 1.186799999999999938e-01 2.884700000000000111e-02 1.240676586218399380e-01
3.189999999999999780e-02 1.200900000000000023e-01 2.924300000000000163e-02 1.239855099022114104e-01
3.219999999999999946e-02 1.224599999999999994e-01 2.929299999999999959e-02 1.238614134775005704e-01
3.250000000000000111e-02 1.219900000000000012e-01 2.924399999999999916e-02 1.237362718183417226e-01
3.280000000000000276e-02 1.180400000000000060e-01 2.883499999999999952e-02 1.236100880747096203e-01
