#Data fitted with model: Rod_Sphere on Sun Nov 12 10:58:21 2017
#[[Fit Statistics]]
#    # function evals   = 18
#    # data points      = 855
#    # variables        = 2
#    chi-square         = 3.608
#    reduced chi-square = 0.004
#    Akaike info crit   = -4671.179
#    Bayesian info crit = -4661.676
#[[Variables]]
#    R:      12 (fixed)
#    Rsig:   0.22120904 +/- 0.001440 (0.65%) (init= 0.1563)
#    qc:     0.001 (fixed)
#    norm:   2.9143e-07 +/- 1.50e-09 (0.52%) (init= 2.198e-07)
#    bkg:    0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(Rsig, norm)                = -0.926 
#x 	 y	 yerr 	 yfit
1.009999999999999960e-02 1.398000000000000076e-01 2.962000000000000050e-02 1.320223940296701426e-01
1.030000000000000013e-02 1.386199999999999932e-01 2.978700000000000098e-02 1.319675763360972642e-01
1.060000000000000005e-02 1.370000000000000107e-01 2.985300000000000106e-02 1.318869357561800182e-01
1.089999999999999997e-02 1.386600000000000055e-01 3.008900000000000116e-02 1.318078883154199521e-01
1.119999999999999989e-02 1.405099999999999960e-01 3.007999999999999910e-02 1.317301281507872457e-01
1.149999999999999981e-02 1.397899999999999976e-01 2.992300000000000168e-02 1.316533893795108767e-01
1.170000000000000033e-02 1.342399999999999982e-01 2.994499999999999940e-02 1.316026818424804179e-01
1.200000000000000025e-02 1.311299999999999966e-01 2.972100000000000089e-02 1.315271443133595730e-01
1.230000000000000017e-02 1.326299999999999979e-01 2.999200000000000130e-02 1.314520716262186362e-01
1.260000000000000009e-02 1.341100000000000070e-01 2.988299999999999984e-02 1.313772998598595476e-01
1.290000000000000001e-02 1.374700000000000089e-01 2.983699999999999894e-02 1.313026842996524723e-01
1.310000000000000053e-02 1.344499999999999862e-01 2.949999999999999845e-02 1.312529634932710632e-01
1.340000000000000045e-02 1.364499999999999880e-01 2.953000000000000069e-02 1.311783307678813237e-01
1.370000000000000037e-02 1.374499999999999889e-01 2.966600000000000140e-02 1.311035436716475600e-01
1.400000000000000029e-02 1.368300000000000072e-01 2.974399999999999961e-02 1.310285084745797246e-01
1.430000000000000021e-02 1.341700000000000115e-01 3.005800000000000138e-02 1.309531414587964682e-01
1.450000000000000074e-02 1.309800000000000131e-01 3.010900000000000035e-02 1.309026751059164384e-01
1.480000000000000066e-02 1.302800000000000069e-01 2.962599999999999956e-02 1.308265924021453919e-01
1.510000000000000057e-02 1.293799999999999950e-01 2.957399999999999959e-02 1.307499947931323181e-01
1.540000000000000049e-02 1.297300000000000120e-01 2.945100000000000148e-02 1.306728260119397467e-01
1.569999999999999868e-02 1.274200000000000055e-01 2.914500000000000077e-02 1.305950353661017305e-01
1.590000000000000094e-02 1.251599999999999935e-01 2.927899999999999947e-02 1.305428066810919718e-01
1.619999999999999912e-02 1.263799999999999923e-01 2.923100000000000004e-02 1.304638801517093161e-01
1.650000000000000078e-02 1.258900000000000019e-01 2.948900000000000132e-02 1.303842193575792396e-01
1.679999999999999896e-02 1.284200000000000064e-01 2.941399999999999917e-02 1.303037893056478991e-01
1.710000000000000062e-02 1.301100000000000034e-01 2.930900000000000172e-02 1.302225582807818027e-01
1.739999999999999880e-02 1.291200000000000125e-01 2.948999999999999885e-02 1.301404975116445262e-01
1.760000000000000106e-02 1.265100000000000113e-01 2.970199999999999924e-02 1.300853163623953146e-01
1.789999999999999925e-02 1.267699999999999938e-01 3.008500000000000063e-02 1.300018158263467616e-01
1.820000000000000090e-02 1.291299999999999948e-01 2.975600000000000120e-02 1.299174210804219243e-01
1.849999999999999908e-02 1.316599999999999993e-01 2.972500000000000142e-02 1.298321118731286250e-01
1.880000000000000074e-02 1.348499999999999976e-01 2.967099999999999946e-02 1.297458697828508534e-01
1.899999999999999953e-02 1.347899999999999932e-01 2.957999999999999866e-02 1.296878484472911430e-01
1.930000000000000118e-02 1.302899999999999892e-01 2.938299999999999940e-02 1.296000150589429467e-01
1.959999999999999937e-02 1.289899999999999936e-01 2.898900000000000088e-02 1.295112073845424705e-01
1.990000000000000102e-02 1.280100000000000127e-01 2.905200000000000143e-02 1.294214124016788425e-01
2.019999999999999921e-02 1.286299999999999943e-01 2.888800000000000048e-02 1.293306182710335372e-01
2.040000000000000147e-02 1.239100000000000062e-01 2.859799999999999842e-02 1.292695284147837853e-01
2.069999999999999965e-02 1.237199999999999966e-01 2.844700000000000006e-02 1.291770456274537460e-01
2.100000000000000130e-02 1.239100000000000062e-01 2.857499999999999971e-02 1.290835371721428537e-01
2.129999999999999949e-02 1.247100000000000014e-01 2.901700000000000113e-02 1.289889947610357024e-01
2.160000000000000114e-02 1.252999999999999947e-01 2.970199999999999924e-02 1.288934108985939353e-01
2.179999999999999993e-02 1.238599999999999979e-01 2.936400000000000121e-02 1.288291063703110584e-01
2.210000000000000159e-02 1.244600000000000012e-01 2.906299999999999856e-02 1.287317720563619372e-01
2.239999999999999977e-02 1.237700000000000050e-01 2.922399999999999998e-02 1.286333797220728659e-01
2.270000000000000143e-02 1.240799999999999959e-01 2.931999999999999884e-02 1.285339242878471289e-01
2.299999999999999961e-02 1.252800000000000025e-01 2.930400000000000019e-02 1.284334012219097154e-01
2.319999999999999840e-02 1.270799999999999985e-01 2.946800000000000114e-02 1.283657907091236283e-01
2.350000000000000006e-02 1.265100000000000113e-01 2.959600000000000078e-02 1.282634795501376157e-01
2.380000000000000171e-02 1.248900000000000010e-01 2.933799999999999950e-02 1.281600910623351131e-01
2.409999999999999989e-02 1.234200000000000019e-01 2.912100000000000105e-02 1.280556224089068884e-01
2.440000000000000155e-02 1.227099999999999996e-01 2.900799999999999906e-02 1.279500711432367543e-01
2.460000000000000034e-02 1.234200000000000019e-01 2.901799999999999866e-02 1.278791011389210086e-01
2.489999999999999852e-02 1.247999999999999943e-01 2.879900000000000168e-02 1.277717410608169013e-01
2.520000000000000018e-02 1.280000000000000027e-01 2.914800000000000030e-02 1.276632935626032805e-01
2.549999999999999836e-02 1.297899999999999887e-01 2.887199999999999836e-02 1.275537574215123426e-01
2.580000000000000002e-02 1.311799999999999911e-01 2.881399999999999934e-02 1.274431317005371433e-01
2.610000000000000167e-02 1.287200000000000011e-01 2.907099999999999962e-02 1.273314157309098638e-01
2.630000000000000046e-02 1.213700000000000057e-01 2.916600000000000095e-02 1.272563325084472008e-01
2.659999999999999865e-02 1.144799999999999984e-01 2.903000000000000025e-02 1.271427986495011764e-01
2.690000000000000030e-02 1.136999999999999955e-01 2.878899999999999862e-02 1.270281739510401575e-01
2.719999999999999848e-02 1.110700000000000021e-01 2.854699999999999946e-02 1.269124585988708198e-01
2.750000000000000014e-02 1.098299999999999971e-01 2.828100000000000058e-02 1.267956529815883193e-01
2.769999999999999893e-02 1.162900000000000045e-01 2.821200000000000097e-02 1.267171771461811369e-01
2.800000000000000058e-02 1.217599999999999932e-01 2.825599999999999987e-02 1.265985557996415767e-01
2.829999999999999877e-02 1.262500000000000011e-01 2.862699999999999967e-02 1.264788461332314873e-01
2.860000000000000042e-02 1.236799999999999983e-01 2.883600000000000052e-02 1.263580491895035518e-01
2.889999999999999861e-02 1.199699999999999933e-01 2.861999999999999961e-02 1.262361661681470903e-01
2.910000000000000087e-02 1.202600000000000058e-01 2.884600000000000011e-02 1.261543081043363657e-01
2.939999999999999905e-02 1.222000000000000031e-01 2.858700000000000130e-02 1.260306180215685079e-01
2.970000000000000070e-02 1.180199999999999999e-01 2.830999999999999836e-02 1.259058457702105227e-01
2.999999999999999889e-02 1.184700000000000059e-01 2.849600000000000050e-02 1.257799930625615181e-01
3.030000000000000054e-02 1.204100000000000031e-01 2.889200000000000101e-02 1.256530617355523793e-01
3.049999999999999933e-02 1.235399999999999970e-01 2.890300000000000161e-02 1.255678425790309749e-01
3.080000000000000099e-02 1.171600000000000003e-01 2.873600000000000113e-02 1.254391179557765024e-01
3.109999999999999917e-02 1.157399999999999957e-01 2.891399999999999873e-02 1.253093201788158806e-01
3.139999999999999736e-02 1.191299999999999998e-01 2.887199999999999836e-02 1.251784514960846417e-01
3.169999999999999901e-02 1.186799999999999938e-01 2.884700000000000111e-02 1.250465142565504173e-01
3.189999999999999780e-02 1.200900000000000023e-01 2.924300000000000163e-02 1.249579636581374942e-01
3.219999999999999946e-02 1.224599999999999994e-01 2.929299999999999959e-02 1.248242509717858717e-01
3.250000000000000111e-02 1.219900000000000012e-01 2.924399999999999916e-02 1.246894764554683649e-01
3.280000000000000276e-02 1.180400000000000060e-01 2.883499999999999952e-02 1.245536427947070840e-01
3.309999999999999748e-02 1.143600000000000033e-01 2.859899999999999942e-02 1.244167527585962191e-01
3.330000000000000321e-02 1.130700000000000038e-01 2.845900000000000166e-02 1.243249072632855584e-01
3.359999999999999792e-02 1.120799999999999991e-01 2.834499999999999867e-02 1.241862629722739475e-01
3.389999999999999958e-02 1.168799999999999978e-01 2.856600000000000111e-02 1.240465700754905115e-01
3.420000000000000123e-02 1.216200000000000059e-01 2.902000000000000066e-02 1.239058316230050028e-01
3.450000000000000289e-02 1.221499999999999947e-01 2.912500000000000158e-02 1.237640507353010844e-01
3.479999999999999760e-02 1.200900000000000023e-01 2.904899999999999843e-02 1.236212306008893091e-01
3.500000000000000333e-02 1.226099999999999968e-01 2.880699999999999927e-02 1.235254414230758657e-01
3.529999999999999805e-02 1.238699999999999940e-01 2.844800000000000106e-02 1.233808964740549935e-01
3.559999999999999970e-02 1.243100000000000038e-01 2.869899999999999882e-02 1.232353210967999241e-01
3.590000000000000135e-02 1.234299999999999981e-01 2.897699999999999929e-02 1.230887187108241493e-01
3.620000000000000301e-02 1.217300000000000049e-01 2.892600000000000032e-02 1.229410927941012172e-01
3.640000000000000180e-02 1.166900000000000021e-01 2.855399999999999952e-02 1.228421086313289945e-01
3.670000000000000345e-02 1.157399999999999957e-01 2.833700000000000108e-02 1.226927847121001142e-01
3.699999999999999817e-02 1.221600000000000047e-01 2.875399999999999831e-02 1.225424468094174490e-01
3.729999999999999982e-02 1.254800000000000082e-01 2.914299999999999877e-02 1.223910986011983726e-01
3.760000000000000148e-02 1.225300000000000000e-01 2.942099999999999924e-02 1.222387438163126394e-01
3.780000000000000027e-02 1.185800000000000048e-01 2.915299999999999836e-02 1.221366166143531273e-01
3.810000000000000192e-02 1.170100000000000029e-01 2.921699999999999992e-02 1.219825926220554080e-01
3.839999999999999664e-02 1.136000000000000065e-01 2.890900000000000067e-02 1.218275722354173474e-01
3.869999999999999829e-02 1.134399999999999992e-01 2.884899999999999964e-02 1.216715593586519123e-01
3.899999999999999994e-02 1.168499999999999955e-01 2.862299999999999914e-02 1.215145579409203647e-01
3.919999999999999873e-02 1.183199999999999946e-01 2.855200000000000099e-02 1.214093431097452019e-01
3.950000000000000039e-02 1.180500000000000022e-01 2.840799999999999922e-02 1.212507030181710216e-01
3.980000000000000204e-02 1.186699999999999977e-01 2.865499999999999992e-02 1.210910851280268818e-01
4.009999999999999676e-02 1.212099999999999983e-01 2.906800000000000009e-02 1.209304935439638601e-01
4.039999999999999841e-02 1.218599999999999961e-01 2.904699999999999990e-02 1.207689324106898943e-01
4.059999999999999720e-02 1.178600000000000064e-01 2.850300000000000056e-02 1.206606884145641767e-01
4.089999999999999886e-02 1.135599999999999943e-01 2.853299999999999934e-02 1.204975206822585104e-01
4.120000000000000051e-02 1.066200000000000064e-01 2.852499999999999827e-02 1.203333946421524525e-01
4.150000000000000216e-02 1.076600000000000057e-01 2.874300000000000119e-02 1.201683145781173578e-01
4.179999999999999688e-02 1.127100000000000046e-01 2.865300000000000138e-02 1.200022848100200656e-01
4.200000000000000261e-02 1.170599999999999974e-01 2.876799999999999843e-02 1.198910728338173637e-01
4.229999999999999732e-02 1.218599999999999961e-01 2.914200000000000124e-02 1.197234699206149583e-01
4.259999999999999898e-02 1.224200000000000010e-01 2.939399999999999999e-02 1.195549289931007453e-01
4.290000000000000063e-02 1.216700000000000004e-01 2.957500000000000059e-02 1.193854544966240494e-01
4.320000000000000229e-02 1.184700000000000059e-01 2.890300000000000161e-02 1.192150509090934146e-01
4.349999999999999700e-02 1.180299999999999960e-01 2.894499999999999851e-02 1.190437227403069176e-01
4.370000000000000273e-02 1.185900000000000010e-01 2.903999999999999984e-02 1.189289925460837727e-01
4.399999999999999745e-02 1.203899999999999970e-01 2.908499999999999974e-02 1.187561335148732411e-01
4.429999999999999910e-02 1.202600000000000058e-01 2.873300000000000159e-02 1.185823620795587174e-01
4.460000000000000075e-02 1.151800000000000046e-01 2.852899999999999880e-02 1.184076828614516602e-01
4.490000000000000241e-02 1.136100000000000027e-01 2.867199999999999957e-02 1.182321005108793593e-01
4.510000000000000120e-02 1.163399999999999990e-01 2.852800000000000127e-02 1.181145461795913842e-01
4.540000000000000285e-02 1.189500000000000002e-01 2.858199999999999977e-02 1.179374690193176894e-01
4.569999999999999757e-02 1.150599999999999956e-01 2.848699999999999843e-02 1.177595012650318046e-01
4.599999999999999922e-02 1.096700000000000036e-01 2.822399999999999909e-02 1.175806476687021040e-01
4.630000000000000088e-02 1.116000000000000048e-01 2.844999999999999959e-02 1.174009130087834141e-01
4.649999999999999967e-02 1.147900000000000031e-01 2.888299999999999895e-02 1.172806027939062995e-01
4.680000000000000132e-02 1.164400000000000018e-01 2.912599999999999911e-02 1.170994103838043782e-01
4.710000000000000298e-02 1.155899999999999983e-01 2.913900000000000171e-02 1.169173497783445176e-01
4.739999999999999769e-02 1.153399999999999981e-01 2.929599999999999912e-02 1.167344258488634684e-01
4.769999999999999934e-02 1.147600000000000009e-01 2.910400000000000140e-02 1.165506434909221456e-01
4.789999999999999813e-02 1.156100000000000044e-01 2.932099999999999984e-02 1.164276474425945673e-01
4.819999999999999979e-02 1.141699999999999937e-01 2.922699999999999951e-02 1.162424453139287855e-01
4.850000000000000144e-02 1.146900000000000003e-01 2.894800000000000151e-02 1.160563979266199530e-01
4.880000000000000310e-02 1.126199999999999979e-01 2.877000000000000043e-02 1.158695102612154748e-01
4.909999999999999781e-02 1.100700000000000012e-01 2.832900000000000001e-02 1.156817873204325914e-01
4.929999999999999660e-02 1.103699999999999959e-01 2.817499999999999866e-02 1.155561771317035608e-01
4.959999999999999826e-02 1.144899999999999946e-01 2.797699999999999840e-02 1.153670732413320799e-01
4.989999999999999991e-02 1.138699999999999990e-01 2.800599999999999964e-02 1.151771475213915763e-01
5.020000000000000157e-02 1.116999999999999937e-01 2.815700000000000147e-02 1.149864050523669856e-01
5.050000000000000322e-02 1.106800000000000006e-01 2.828400000000000011e-02 1.147948509350219387e-01
5.079999999999999793e-02 1.086899999999999950e-01 2.822799999999999962e-02 1.146024902900114467e-01
5.099999999999999672e-02 1.069900000000000018e-01 2.801400000000000071e-02 1.144738043266404909e-01
5.129999999999999838e-02 1.034199999999999980e-01 2.768699999999999981e-02 1.142801109009053268e-01
5.160000000000000003e-02 1.038599999999999940e-01 2.826199999999999893e-02 1.140856246969441934e-01
5.190000000000000169e-02 1.096700000000000036e-01 2.847900000000000084e-02 1.138903509051205493e-01
5.220000000000000334e-02 1.111400000000000027e-01 2.851599999999999968e-02 1.136942947339517895e-01
5.240000000000000213e-02 1.110499999999999959e-01 2.848300000000000137e-02 1.135631585448210606e-01
